mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_105225,CC(O)C1(CO)NC1C,1.81367,1.47361,1.05126,1.7796,78.62,-0.2423,0.0603,0.3026,1276.9183,0.192062,-441.454493,-441.443728,-441.442784,-441.490021,39.64
gdb_48458,O=CC1(OCC1=O)C#C,2.0402,1.53796,1.34177,2.7581,67.12,-0.2577,-0.0714,0.1863,1024.3437,0.084384,-456.514277,-456.505537,-456.504593,-456.548444,30.339
gdb_27714,C#Cc1c(cc([nH]1)N)O,3.01664,1.26649,0.89373,2.5731,83.09,-0.1713,0.0147,0.186,1226.7182,0.112166,-416.809565,-416.800587,-416.799643,-416.84272,33.792
gdb_111185,COC1C2NC1C2C#N,2.85293,1.23301,0.97991,2.3144,74.37,-0.2589,0.0126,0.2715,1211.7945,0.136159,-417.927651,-417.919443,-417.918499,-417.960985,30.134
gdb_18012,CCC1CC2OCC12,4.21574,1.41463,1.27951,1.8163,74.16,-0.2376,0.0788,0.3164,1043.1086,0.17771,-348.972104,-348.964255,-348.963311,-349.00473,29.669
gdb_2783,CNC1COC1=N,4.29545,2.36511,1.63571,2.7918,58.7,-0.232,0.0234,0.2554,758.7174,0.125952,-341.814212,-341.807175,-341.806231,-341.845411,25.105
gdb_41285,C1OC23CC4CC12CC34,2.85122,2.052,1.83627,1.7605,78.01,-0.2375,0.0722,0.3096,859.4298,0.16236,-385.806973,-385.800835,-385.799891,-385.836918,27.194
gdb_48985,O=CC12CCC(C1)OC2,3.17123,1.41784,1.25428,1.6395,74.78,-0.2512,-0.0283,0.2228,1048.3592,0.161277,-423.049074,-423.041589,-423.040645,-423.081114,29.48
gdb_84168,CC1N=C(N)OCC1=O,2.83509,1.42183,0.99485,3.3071,70.79,-0.2262,-0.0222,0.2039,1162.7263,0.13582,-455.183091,-455.174346,-455.173402,-455.216854,32.388
gdb_27667,C(#N)c1c(oc(n1)N)N,3.15082,1.3136,0.92922,6.1435,69.75,-0.2057,-0.0082,0.1976,1154.3494,0.091012,-448.976736,-448.968712,-448.967767,-449.009193,29.645
